червы,4
пики,4
червы,10
бубны,10
червы,5
пики,9
трефы,дама
червы,3
трефы,6
пики,5
трефы,10
пики,2
червы,король
бубны,туз
бубны,9
трефы,туз
червы,3
червы,туз
бубны,7
бубны,10
червы,1
бубны,6
трефы,6
червы,9
пики,2
пики,5
трефы,дама
червы,8
трефы,король
трефы,8
трефы,7
бубны,туз
трефы,дама
червы,2
трефы,дама
бубны,2
пики,валет
червы,5
червы,10
червы,туз
пики,дама
червы,8
трефы,3
бубны,7
пики,8
трефы,валет
трефы,валет
бубны,1
бубны,4
бубны,8
пики,валет
трефы,туз
червы,дама
трефы,3
пики,3
червы,7
пики,5
пики,5
червы,5
червы,туз
бубны,4
червы,9
бубны,2
трефы,5
червы,туз
трефы,туз
червы,8
пики,9
бубны,10
червы,король
бубны,5
бубны,дама
бубны,5
трефы,туз
трефы,8
пики,туз
трефы,валет
пики,7
пики,дама
червы,король
пики,10
бубны,2
пики,5
бубны,9
трефы,3
трефы,дама
трефы,6
червы,3
пики,10
пики,король
червы,3
трефы,3
бубны,валет
пики,валет
трефы,валет
пики,1
червы,дама
пики,дама
трефы,валет
червы,7
бубны,4
пики,4
бубны,туз
червы,валет
червы,5
бубны,2
червы,3
червы,10
бубны,5
червы,2
червы,дама
трефы,дама
трефы,король
пики,дама
пики,7
трефы,8
трефы,2
трефы,5
бубны,7
пики,1
пики,валет
бубны,9
пики,дама
бубны,9
пики,6
трефы,туз
трефы,4
червы,8
бубны,1
бубны,8
червы,5
червы,туз
пики,3
червы,дама
пики,7
трефы,король
бубны,8
пики,5
трефы,2
трефы,король
червы,10
бубны,10
пики,туз
трефы,5
трефы,7
трефы,6
трефы,король
пики,король
червы,валет
червы,валет
бубны,6
червы,дама
червы,4
трефы,3
червы,9
червы,9
бубны,2
трефы,7
пики,4
трефы,5
бубны,дама
пики,3
пики,1
трефы,5
червы,5
бубны,9
пики,7
бубны,8
пики,туз
пики,валет
бубны,дама
червы,6
червы,8
бубны,валет
пики,4
червы,1
пики,6
червы,король
пики,1
бубны,туз
червы,6
пики,10
трефы,король
пики,3
трефы,6
червы,король
пики,туз
трефы,дама
пики,3
пики,валет
пики,1
пики,5
трефы,9
пики,1
трефы,валет
бубны,3
трефы,4
червы,дама
бубны,2
трефы,король
бубны,3
червы,8
трефы,7
пики,дама
бубны,7
бубны,дама
пики,дама
бубны,9
бубны,валет
пики,7
пики,туз
пики,дама
бубны,король
пики,6
бубны,дама
пики,4
червы,8
трефы,2
червы,7
червы,дама
бубны,валет
червы,8
бубны,туз
бубны,10
пики,дама
бубны,8
пики,3
червы,2
червы,туз
червы,валет
трефы,6
червы,6
червы,5
бубны,дама
червы,7
червы,6
червы,король
пики,3
пики,7
трефы,3
пики,8
трефы,7
бубны,9
червы,5
бубны,дама
трефы,9
пики,6
трефы,король
бубны,5
пики,6
трефы,2
пики,9
червы,4
пики,дама
червы,1
трефы,2
червы,7
бубны,10
трефы,дама
червы,туз
червы,9
пики,8
червы,6
пики,3
пики,4
бубны,6
бубны,8
пики,8
трефы,10
трефы,8
пики,дама
пики,1
бубны,2
пики,валет
пики,1
трефы,5
бубны,10
пики,2
пики,дама
червы,8
бубны,3
бубны,7
трефы,8
червы,9
трефы,туз
бубны,туз
трефы,дама
червы,10
червы,2
пики,7
червы,3
трефы,1
пики,валет
червы,1
